request_size_kb,server_load,is_cached,region_latency,response_time_ms
168.0,0.7,0,109,140.21
275.9,0.4,0,140,213.82
163.4,0.2,0,131,200.71
439.1,0.9,0,21,106.57
430.3,1.0,1,129,373.48
261.1,0.5,1,23,180.08
240.1,0.6,1,153,298.91
339.9,1.0,0,52,121.42
393.7,0.7,0,29,127.91
144.8,0.4,0,12,66.26
109.9,0.2,0,117,220.65
389.1,0.8,1,61,273.48
45.8,1.0,1,172,362.77
79.9,0.5,1,57,271.96
427.2,0.4,1,34,315.99
94.8,0.1,0,160,275.81
259.3,0.9,1,54,175.43
77.7,0.9,0,136,185.95
34.6,0.7,1,147,387.67
481.2,0.1,0,27,199.64
48.1,0.3,1,93,255.59
12.4,0.3,1,64,226.22
368.3,0.9,0,38,120.49
163.0,0.7,0,169,245.16
23.4,0.7,0,121,120.51
